band,wavelength,fwhm
B341,2089.26220703125,5.88
B342,2094.27026367188,5.88
B343,2099.2783203125,5.88
B344,2104.2861328125,5.88
B345,2109.29418945312,5.88
B346,2114.30200195312,5.88
B347,2119.31005859375,5.89
B348,2124.31811523438,5.89
B349,2129.32592773438,5.89
B350,2134.333984375,5.89
B351,2139.34204101562,5.89
B352,2144.34985351562,5.89
B353,2149.35791015625,5.89
B354,2154.36596679688,5.9
B355,2159.37377929688,5.9
B356,2164.3818359375,5.9
B357,2169.38989257812,5.9
B358,2174.39770507812,5.9
B359,2179.40576171875,5.9
B360,2184.41381835938,5.9
B361,2189.42163085938,5.91
B362,2194.4296875,5.91
B363,2199.4375,5.91
B364,2204.44555664062,5.91
B365,2209.45361328125,5.91
B366,2214.46142578125,5.91
B367,2219.46948242188,5.92
B368,2224.4775390625,5.92
B369,2229.48559570312,5.92
B370,2234.49340820312,5.92
B371,2239.50146484375,5.92
B372,2244.50952148438,5.92
B373,2249.51733398438,5.93
B374,2254.525390625,5.93
B375,2259.533203125,5.93
B376,2264.54125976562,5.93
B377,2269.54931640625,5.93
B378,2274.55712890625,5.93
B379,2279.56518554688,5.94
B380,2284.5732421875,5.94
B381,2289.5810546875,5.94
B382,2294.58911132812,5.94
B383,2299.59716796875,5.94
B384,2304.60498046875,5.95
B385,2309.61303710938,5.95
B386,2314.62109375,5.95
B387,2319.62890625,5.95
B388,2324.63696289062,5.95
B389,2329.64501953125,5.95
B390,2334.65283203125,5.96
B391,2339.66088867188,5.96
B392,2344.66870117188,5.96
B393,2349.6767578125,5.96
B394,2354.68481445312,5.96
B395,2359.69262695312,5.97
B396,2364.70068359375,5.97
B397,2369.70874023438,5.97
B398,2374.716796875,5.97
B399,2379.724609375,5.97
B400,2384.73266601562,5.98
B401,2389.74047851562,5.98
B402,2394.74853515625,5.98
B403,2399.75659179688,5.98
B404,2404.76440429688,5.98
B405,2409.7724609375,5.99
B406,2414.78051757812,5.99
B407,2419.78833007812,5.99
B408,2424.79638671875,5.99
B409,2429.80419921875,5.99
B410,2434.81225585938,6
B411,2439.8203125,6
B412,2444.82836914062,6
B413,2449.83618164062,6
B414,2454.84423828125,6.01
B415,2459.85229492188,6.01
B416,2464.86010742188,6.01
B417,2469.8681640625,6.01
B418,2474.87622070312,6.01
B419,2479.88403320312,6.02
B420,2484.89208984375,6.02
B421,2489.89990234375,6.02
B422,2494.90795898438,6.02
B423,2499.916015625,6.03
B424,2504.923828125,6.02
B425,2509.93188476562,6.03
