 #wvl              a              b              c           rmse
1590.00049000 0.003486416613 0.253347542650 0.000000000000 0.000000000000
1600.00012000 0.003448935034 0.247929474301 0.000000000000 0.000000000000
1610.00012000 0.003412085278 0.242659828363 0.000000000000 0.000000000000
1620.00085000 0.003375896078 0.237539736704 0.000000000000 0.000000000000
1629.99988000 0.003340420840 0.232573646397 0.000000000000 0.000000000000
1640.00000000 0.003305147973 0.227677031556 0.000000010353 0.000000009062
1650.00012000 0.003270525390 0.222933242506 0.000000008883 0.000000007792
1659.99988000 0.003236708765 0.218347968279 0.000000007615 0.000000006694
1670.00037000 0.003204027911 0.213961859833 0.000000006535 0.000000005756
1679.99988000 0.003171640765 0.209658976912 0.000000005591 0.000000004934
1689.99976000 0.003139955611 0.205491570262 0.000000004777 0.000000004225
1700.00012000 0.003109240770 0.201491642496 0.000000004084 0.000000003618
1709.99988000 0.003079139360 0.197609678342 0.000000003486 0.000000003094
1720.00037000 0.003049777966 0.193859470586 0.000000002974 0.000000002643
1730.00000000 0.003020835008 0.190197820575 0.000000002529 0.000000002252
1740.00073000 0.002992472088 0.186643375360 0.000000002148 0.000000001916
1749.99976000 0.002965231916 0.183261157943 0.000000001827 0.000000001632
1760.00000000 0.002938679069 0.179994012903 0.000000001552 0.000000001389
1769.99976000 0.002912919991 0.176852587936 0.000000001319 0.000000001182
1780.00000000 0.002887551044 0.173785746175 0.000000001117 0.000000001003
1790.00049000 0.002862580308 0.170793217219 0.000000000945 0.000000000849
1800.00024000 0.002838727516 0.167958916134 0.000000000800 0.000000000720
1810.00049000 0.002815489385 0.165220441417 0.000000000676 0.000000000610
1820.00024000 0.002792841938 0.162573218669 0.000000000572 0.000000000516
1830.00024000 0.002770726723 0.160008826881 0.000000000482 0.000000000436
1840.00037000 0.002749418245 0.157557255033 0.000000000407 0.000000000368
1850.00024000 0.002728456151 0.155163993341 0.000000000342 0.000000000310
1859.99988000 0.002707949821 0.152840481533 0.000000000287 0.000000000260
1869.99963000 0.002688432783 0.150645337679 0.000000000242 0.000000000219
1880.00012000 0.002669192400 0.148496846255 0.000000000203 0.000000000184
1890.00024000 0.002650612256 0.146436722443 0.000000000170 0.000000000154
1900.00024000 0.002632970311 0.144493939115 0.000000000143 0.000000000130
1909.99963000 0.002615591535 0.142592818739 0.000000000119 0.000000000109
1919.99963000 0.002598439230 0.140728814462 0.000000000100 0.000000000091
1930.00049000 0.002581506253 0.138900672263 0.000000000083 0.000000000076
1939.99988000 0.002564879259 0.137117193223 0.000000000068 0.000000000062
1949.99976000 0.002548777443 0.135401029391 0.000000000056 0.000000000052
1960.00012000 0.002533393483 0.133771471293 0.000000000047 0.000000000043
1969.99927000 0.002518324362 0.132184826778 0.000000000038 0.000000000035
1979.99976000 0.002503636779 0.130647463726 0.000000000031 0.000000000029
1989.99939000 0.002489272961 0.129152686791 0.000000000026 0.000000000024
1999.99988000 0.002477671463 0.127951656858 0.000000000022 0.000000000020
2010.00024000 0.002468397505 0.126995626329 0.000000000019 0.000000000017
2019.99976000 0.002455193819 0.125640658657 0.000000000015 0.000000000014
2029.99939000 0.002442312873 0.124325814715 0.000000000012 0.000000000011
2040.00012000 0.002430744953 0.123150900032 0.000000000010 0.000000000009
2050.00073000 0.002419515340 0.122015684175 0.000000000008 0.000000000008
2060.00000000 0.002407947911 0.120851813236 0.000000000007 0.000000000006
2070.00000000 0.002396182826 0.119673775568 0.000000000005 0.000000000005
2080.00000000 0.002384491821 0.118508871597 0.000000000004 0.000000000004
2089.99951000 0.002373625912 0.117431294903 0.000000000003 0.000000000003
2099.99951000 0.002363292208 0.116411067694 0.000000000003 0.000000000002
2110.00049000 0.002353293328 0.115428137825 0.000000000002 0.000000000002
2119.99976000 0.002343330190 0.114452867914 0.000000000002 0.000000000001
2129.99976000 0.002333855262 0.113529232168 0.000000000001 0.000000000001
2139.99951000 0.002324623513 0.112632904967 0.000000000001 0.000000000001
2149.99951000 0.002315576391 0.111757953639 0.000000000001 0.000000000001
2159.99902000 0.002306817415 0.110914124392 0.000000000000 0.000000000000
2169.99951000 0.002298220960 0.110089065448 0.000000000000 0.000000000000
2179.99902000 0.002290115573 0.109313968077 0.000000000000 0.000000000000
2190.00024000 0.002282335935 0.108572604464 0.000000000000 0.000000000000
2199.99951000 0.002274399272 0.107818875175 0.000000000000 0.000000000000
2209.99951000 0.002266757870 0.107095674890 0.000000000000 0.000000000000
2219.99927000 0.002259868598 0.106445762657 0.000000000000 0.000000000000
2229.99927000 0.002253004697 0.105800213799 0.000000000000 0.000000000000
2240.00049000 0.002246394107 0.105180354874 0.000000000000 0.000000000000
2250.00000000 0.002240002180 0.104582741202 0.000000000000 0.000000000000
2259.99927000 0.002233499617 0.103976529904 0.000000000000 0.000000000000
2270.00000000 0.002226993747 0.103371775754 0.000000000000 0.000000000000
2280.00073000 0.002220767325 0.102791692454 0.000000001747 0.000000002004
2290.00098000 0.002214803605 0.102241511675 0.000000001123 0.000000001289
2300.00098000 0.002208864812 0.101694875677 0.000000000640 0.000000000735
2309.99927000 0.002203024763 0.101158545131 0.000000000299 0.000000000343
2320.00073000 0.002197750586 0.100675247228 0.000000000101 0.000000000116
2329.99951000 0.002192600500 0.100204277883 0.000000000009 0.000000000011
2339.99951000 0.002187522200 0.099740798534 0.000000000015 0.000000000017
2349.99927000 0.002182404088 0.099274607924 0.000000000116 0.000000000133
2360.00024000 0.002177629424 0.098840564088 0.000000000295 0.000000000340
2369.99976000 0.002173055343 0.098425532030 0.000000000543 0.000000000625
2379.99951000 0.002168541465 0.098016698626 0.000000000861 0.000000000990
2390.00000000 0.002164343498 0.097637161520 0.000000001219 0.000000001403
2400.00049000 0.002160134961 0.097257300838 0.000000001639 0.000000001887
2410.00049000 0.002155835811 0.096869903944 0.000000002131 0.000000002453
2420.00024000 0.002151631018 0.096496347083 0.000000000000 0.000000000000
2430.00049000 0.002147610567 0.096136312716 0.000000000000 0.000000000000
2440.00098000 0.002143968314 0.095810782066 0.000000000000 0.000000000000
2450.00098000 0.002140570328 0.095507624939 0.000000000000 0.000000000000
2460.00146000 0.002137093203 0.095197897271 0.000000000000 0.000000000000
2470.00000000 0.002133632437 0.094890133972 0.000000000000 0.000000000000
2480.00024000 0.002130342597 0.094598069147 0.000000000000 0.000000000000
2489.99976000 0.002127238823 0.094322978690 0.000000000000 0.000000000000
2499.99951000 0.002124254507 0.094058895862 0.000000000000 0.000000000000
