Plot,Year,Latitude,Longitude,spp1,rba1,spp2,rba2,CAR,CAR_sd,CEL,CEL_sd,ADF,ADF_sd,ADL,ADL_sd,LMA,LMA_sd,NIT,NIT_sd,N15,N15_sd,,
BH03,2008,43.391867,-89.845353,ACSM,0.76,QUAL,0.11,48.91,0.129,13.79,0.323,28.26,0.626,14.26,0.541,68.32,0.442,2.57,0.028,-3.68,0.214,,
BH05,2008,43.407996,-89.823127,ACSM,0.90,CACO,0.03,48.48,0.126,15.41,0.362,29.08,0.698,13.74,0.549,57.12,0.572,2.49,0.021,-3.69,0.245,,
BH06,2008,43.428794,-89.829338,CAOV,0.57,QUAL,0.19,46.87,0.222,18.49,0.366,36.75,0.918,17.37,0.485,52.06,1.835,3.08,0.018,-3.78,0.235,,
BH07,2008,43.419923,-89.801136,POTR,0.43,ACSM,0.23,49.26,0.128,16.14,0.530,30.38,0.834,18.35,0.604,66.12,0.776,2.97,0.028,-3.12,0.213,,
BH10,2008,43.405221,-89.761911,ACRU,0.71,ACSM,0.12,49.46,0.147,12.91,0.362,26.16,0.660,15.10,0.522,71.22,1.048,2.47,0.024,-3.42,0.219,,
BH11,2008,43.387963,-89.746492,PIST,0.73,PODE,0.18,49.85,0.194,15.92,0.585,35.96,1.188,21.33,0.850,115.07,1.917,2.03,0.051,-0.78,0.427,,
BH12,2008,43.393538,-89.740062,QURU,0.49,QUAL,0.22,49.19,0.112,15.46,0.372,33.62,0.508,19.21,0.497,85.63,1.574,2.75,0.017,-4.28,0.214,,
BH14,2008,43.415682,-89.723482,CAOV,0.25,QURU,0.25,48.61,0.171,16.50,0.278,37.44,0.565,21.27,0.435,109.97,2.730,2.48,0.040,-2.80,0.219,,
BH15,2008,43.415335,-89.697692,PIST,0.54,QUAL,0.18,49.59,0.129,15.05,0.336,36.26,0.882,21.86,0.630,101.24,1.316,2.29,0.057,-2.18,0.305,,
BH16,2008,43.435204,-89.708653,FRPE,0.36,ACRU,0.28,47.43,0.120,15.48,0.452,31.15,0.891,18.50,0.662,61.13,0.478,2.87,0.025,-2.23,0.175,,
BI01,2008,43.651921,-89.788469,ACSM,0.61,QURU,0.21,49.02,0.106,14.68,0.341,30.07,0.627,16.10,0.592,72.39,0.983,2.86,0.029,-3.48,0.181,,
BI01,2010,43.651921,-89.788469,ACSM,0.47,QURU,0.37,50.26,0.336,14.56,0.642,36.72,1.231,21.79,1.109,91.40,3.456,2.82,0.036,-3.36,0.583,,
BI02,2008,43.652046,-89.791557,ACSM,0.38,QURU,0.23,49.53,0.094,17.24,0.254,35.95,0.456,21.08,0.472,72.70,1.356,2.84,0.033,-3.77,0.156,,
BI02,2010,43.652046,-89.791557,ACSM,0.36,QURU,0.34,50.68,0.306,13.94,0.689,38.24,1.217,23.27,1.083,96.75,2.796,2.63,0.037,-3.78,0.561,,
BI03,2008,43.650715,-89.790020,ACSM,0.54,QURU,0.26,49.13,0.114,16.14,0.352,33.14,0.602,18.06,0.601,71.03,1.040,2.90,0.043,-3.76,0.183,,
BI03,2010,43.650715,-89.790020,QURU,0.44,ACSM,0.42,51.64,0.410,12.99,0.962,38.53,1.545,24.75,1.299,99.38,3.560,2.70,0.042,-3.85,0.817,,
BI04,2008,43.651376,-89.795527,QURU,0.62,ACRU,0.14,49.86,0.092,18.13,0.374,37.74,0.574,22.40,0.499,92.01,2.310,2.76,0.035,-3.14,0.228,,
BI04,2010,43.651376,-89.795527,QURU,0.70,ACRU,0.14,51.52,0.573,14.19,1.436,44.43,2.521,30.02,2.086,103.20,4.325,2.61,0.061,-2.70,1.221,,
BI05,2008,43.649941,-89.800066,PIST,0.65,PIRE,0.30,50.03,0.105,19.54,0.374,44.03,0.823,25.25,0.577,163.67,2.643,1.66,0.016,-2.01,0.300,,
BI05,2010,43.649941,-89.800066,PIST,0.60,PIRE,0.29,50.83,0.140,18.51,0.403,46.34,0.762,26.62,0.636,139.21,7.713,1.78,0.022,-1.95,0.402,,
BI06,2008,43.649093,-89.796174,PIST,0.57,QURU,0.16,49.89,0.105,17.78,0.326,40.04,0.725,23.13,0.537,122.79,1.777,2.13,0.047,-1.96,0.298,,
BI06,2010,43.649093,-89.796174,PIST,0.62,QURU,0.12,50.37,0.132,17.47,0.623,42.08,0.572,24.39,0.428,138.47,7.671,1.87,0.061,-2.20,0.434,,
BI07,2010,43.652251,-89.794458,ACRU,0.40,QURU,0.39,51.20,0.401,12.26,0.974,37.43,1.794,24.30,1.437,102.69,3.238,2.69,0.046,-3.03,0.804,,
BI08,2010,43.652612,-89.797097,PIST,0.79,ACRU,0.08,50.28,0.167,17.74,0.516,44.88,0.937,25.59,0.769,136.50,10.014,1.88,0.026,-1.25,0.500,,
BI09,2010,43.653120,-89.789907,QURU,0.36,ACSM,0.21,49.74,0.234,13.51,0.578,33.23,0.817,19.92,0.688,93.14,2.380,2.79,0.050,-3.32,0.372,,
BI10,2010,43.651122,-89.787066,ACSM,0.30,QURU,0.30,50.30,0.244,13.72,0.559,36.10,0.977,21.76,0.762,90.35,2.351,2.71,0.044,-3.56,0.457,,
DC02,2010,43.056497,-89.407675,ACSN,0.92,PODE,0.06,49.72,0.227,8.66,0.737,19.18,1.221,11.97,1.042,91.67,1.202,2.34,0.046,-2.45,0.499,,
DC02,2011,43.056637,-89.407674,ACSN,0.81,ACNE,0.08,49.43,0.583,8.92,2.336,20.59,5.335,12.86,2.898,86.73,2.860,2.47,0.159,-1.85,0.826,,
DC03,2010,43.046001,-89.424058,ACSM,0.43,QUAL,0.24,49.29,0.123,13.10,0.435,30.38,0.771,16.38,0.631,93.83,3.553,2.70,0.062,-2.43,0.260,,
DC03,2011,43.045998,-89.423997,ACSM,0.54,QUAL,0.29,49.27,0.436,12.59,1.284,29.49,2.417,15.49,1.981,96.30,8.201,2.74,0.207,-2.09,0.722,,
DC04,2010,43.045415,-89.428549,PISY,0.68,PRSE,0.13,50.31,0.282,18.41,0.714,42.13,1.378,23.37,1.119,157.92,2.824,2.21,0.053,-1.82,0.433,,
DC04,2011,43.045385,-89.428569,PISY,0.52,PIRE,0.18,50.54,0.408,18.44,0.911,43.10,1.768,24.25,1.335,165.13,6.233,2.06,0.114,-1.90,0.467,,
DC05,2010,43.038217,-89.438258,PIRE,0.64,PIST,0.16,51.36,0.145,18.81,0.642,47.44,0.931,29.14,0.666,184.32,2.268,1.50,0.042,-1.05,0.293,,
DC05,2011,43.038181,-89.438249,PIRE,0.62,PIST,0.17,50.69,0.554,17.20,1.103,42.81,2.072,25.46,1.546,176.85,5.563,1.76,0.154,-1.01,0.580,,
DC08,2010,43.056072,-89.423047,TIAM,0.20,FRPE,0.13,48.00,0.137,16.14,0.529,37.08,1.032,22.20,0.666,85.51,3.358,2.62,0.079,-2.06,0.246,,
DC09,2010,43.066524,-89.444185,QUMA,0.72,QURU,0.08,49.41,0.117,16.23,0.340,36.41,0.720,21.66,0.584,112.17,1.569,2.59,0.027,-3.99,0.212,,
DC10,2010,43.073068,-89.441459,CEOC,0.38,ROPS,0.32,46.79,0.316,14.36,0.881,29.75,2.640,17.76,2.209,68.17,2.940,3.00,0.114,-0.89,0.494,,
DC12,2010,43.074808,-89.486230,ACSM,0.51,QUAL,0.14,49.21,0.139,14.34,0.607,31.14,0.892,17.27,0.666,80.68,1.844,2.62,0.046,-3.78,0.247,,
DC12,2011,43.074836,-89.486214,ACSM,0.43,ACRU,0.24,49.17,0.421,13.01,1.159,29.54,2.180,16.69,1.691,79.69,3.913,2.47,0.173,-3.75,0.584,,
DC13,2010,43.074324,-89.485336,QUAL,0.59,QURU,0.18,49.82,0.123,15.80,0.669,33.65,0.999,19.65,0.820,98.09,1.231,3.03,0.040,-3.80,0.311,,
DC13,2011,43.074357,-89.485410,QUAL,0.66,QURU,0.16,49.41,0.459,15.38,1.127,35.59,1.933,20.54,1.788,96.48,8.966,3.06,0.178,-3.60,0.549,,
DC14,2010,43.045429,-89.399428,PODE,0.56,ACNE,0.16,48.83,0.204,12.70,0.649,31.78,1.210,20.00,0.854,80.51,2.623,2.82,0.074,-1.00,0.382,,
DC15,2010,43.037738,-89.437541,PIST,0.63,PRSE,0.17,50.86,0.326,18.01,1.383,47.59,1.881,31.68,1.355,159.75,2.034,1.78,0.080,-0.07,0.781,,
DC15,2011,43.037668,-89.437521,PIST,0.70,PRSE,0.14,50.93,0.492,15.35,1.531,39.66,3.055,23.97,1.663,162.96,16.655,1.83,0.138,0.10,0.864,,
DC20,2010,43.085337,-89.427635,JUVI,0.76,MOAL,0.13,48.76,0.287,17.12,0.931,40.94,1.870,27.20,1.204,209.98,2.846,2.14,0.044,-2.01,0.625,,
DC20,2011,43.085366,-89.427626,JUVI,0.71,MOAL,0.10,48.70,0.539,16.90,1.304,40.07,2.492,26.52,1.906,201.81,9.770,2.18,0.151,-1.80,0.681,,
DC21,2010,43.086415,-89.428922,ROPS,0.76,CEOC,0.05,47.94,0.191,16.90,0.755,35.39,1.184,22.92,0.991,59.66,2.647,3.31,0.051,-0.89,0.495,,
DC21,2011,43.086526,-89.429036,ROPS,0.68,CEOC,0.13,47.83,0.610,16.37,1.302,34.14,6.213,21.98,4.946,60.98,7.518,3.31,0.297,-0.82,0.559,,
DC22,2010,43.085891,-89.429492,QUAL,0.63,PRSE,0.09,49.72,0.155,16.32,0.691,34.35,0.965,20.01,0.803,96.48,1.518,2.97,0.036,-3.32,0.395,,
DC22,2011,43.085888,-89.429469,QUAL,0.48,ULAM,0.12,48.69,0.391,15.81,0.893,35.04,1.598,20.19,1.471,93.72,8.463,2.88,0.144,-2.95,0.450,,
DC23,2010,43.090128,-89.430312,QURU,0.73,PRSE,0.10,50.01,0.168,16.94,0.787,37.04,0.979,23.89,0.743,109.08,1.047,3.08,0.039,-2.56,0.284,,
DC23,2011,43.090094,-89.430360,QURU,0.64,PRSE,0.08,49.03,0.400,16.00,0.392,34.26,1.053,22.28,0.527,105.03,14.764,2.99,0.246,-1.95,0.479,,
DC24,2010,43.087796,-89.441737,ACSM,0.59,TIAM,0.22,47.33,0.185,12.08,0.434,26.71,0.763,15.19,0.491,77.86,2.978,2.61,0.084,-2.34,0.308,,
DC26,2011,43.045170,-89.425019,ACSM,0.32,QUAL,0.28,49.09,0.304,13.70,0.838,31.22,1.610,17.39,1.269,94.92,6.537,2.81,0.134,-2.48,0.479,,
DC30,2010,43.085390,-89.429205,QUMA,0.28,QUAL,0.28,48.49,0.221,15.94,0.533,34.88,0.987,20.07,0.893,99.17,4.565,2.93,0.080,-2.62,0.306,,
DC30,2011,43.085499,-89.429362,QUMA,0.30,QUAL,0.29,48.81,0.340,16.10,0.714,35.55,1.326,20.89,1.151,100.38,9.602,2.94,0.147,-2.88,0.400,,
DC31,2010,43.087116,-89.425258,QURU,0.57,QUAL,0.15,48.83,0.179,16.47,0.495,35.12,0.937,22.19,0.742,107.67,3.346,2.75,0.057,-2.31,0.271,,
DC31,2011,43.087079,-89.425328,QURU,0.37,QUAL,0.16,49.42,0.258,16.55,0.405,37.01,0.855,22.77,0.573,114.79,8.535,2.65,0.148,-2.38,0.317,,
DC32,2010,43.088191,-89.427583,ACSM,0.37,QURU,0.26,48.54,0.214,13.53,0.461,28.49,0.962,16.06,0.741,81.88,6.782,2.91,0.110,-2.36,0.295,,
DC32,2011,43.088226,-89.427606,ACSM,0.43,QUAL,0.23,48.46,0.219,13.60,0.484,29.52,0.935,16.65,1.355,84.82,8.801,2.78,0.177,-2.78,0.346,,
DC40,2010,43.071481,-89.489059,TIAM,0.26,QURU,0.21,49.37,0.162,16.22,0.717,34.43,0.889,21.36,0.694,90.33,1.585,3.00,0.047,-2.89,0.238,,
